"Sensor","Date_Time","Date","Time","Count"
"QVM-Queen St (East)",2020-07-02 00:00:00,2020-07-02,0,16
"QVM-Therry St (South)",2020-07-02 00:00:00,2020-07-02,0,77
"Faraday St-Lygon St (West)",2020-07-02 00:00:00,2020-07-02,0,6
"QVM-Franklin St (North)",2020-07-02 00:00:00,2020-07-02,0,9
"Elizabeth St-Lonsdale St (South)",2020-07-02 00:00:00,2020-07-02,0,16
"Lincoln-Swanston (W)",2020-07-02 00:00:00,2020-07-02,0,NA
"Elizabeth St-La Trobe St (East)",2020-07-02 00:00:00,2020-07-02,0,NA
"Lonsdale St - Elizabeth St (North)",2020-07-02 00:00:00,2020-07-02,0,28
"Bourke St Bridge",2020-07-02 00:00:00,2020-07-02,0,4
"Bourke St - Spencer St (North)",2020-07-02 00:00:00,2020-07-02,0,24
"RMIT Bld 80 - 445 Swanston Street",2020-07-02 00:00:00,2020-07-02,0,NA
"Flinders La-Swanston St (West) Temporary",2020-07-02 00:00:00,2020-07-02,0,NA
"RMIT Building 14",2020-07-02 00:00:00,2020-07-02,0,18
"380 Elizabeth St",2020-07-02 00:00:00,2020-07-02,0,120
"La Trobe St (North)",2020-07-02 00:00:00,2020-07-02,0,33
"231 Bourke St",2020-07-02 00:00:00,2020-07-02,0,40
"Royal Pde - Grattan St",2020-07-02 00:00:00,2020-07-02,0,5
"Bourke Street Mall (North)",2020-07-02 01:00:00,2020-07-02,1,17
"Bourke Street Mall (South)",2020-07-02 01:00:00,2020-07-02,1,9
"Melbourne Central",2020-07-02 01:00:00,2020-07-02,1,76
"Town Hall (West)",2020-07-02 01:00:00,2020-07-02,1,37
"Princes Bridge",2020-07-02 01:00:00,2020-07-02,1,29
"Flinders Street Station Underpass",2020-07-02 01:00:00,2020-07-02,1,41
"Birrarung Marr",2020-07-02 01:00:00,2020-07-02,1,2
"Webb Bridge",2020-07-02 01:00:00,2020-07-02,1,4
"Southern Cross Station",2020-07-02 01:00:00,2020-07-02,1,6
"Victoria Point",2020-07-02 01:00:00,2020-07-02,1,6
"Waterfront City",2020-07-02 01:00:00,2020-07-02,1,7
"New Quay",2020-07-02 01:00:00,2020-07-02,1,15
"Flagstaff Station",2020-07-02 01:00:00,2020-07-02,1,NA
"Sandridge Bridge",2020-07-02 01:00:00,2020-07-02,1,20
"State Library",2020-07-02 01:00:00,2020-07-02,1,NA
"Collins St (North)",2020-07-02 01:00:00,2020-07-02,1,15
"Collins Place (South)",2020-07-02 01:00:00,2020-07-02,1,8
"Collins Place (North)",2020-07-02 01:00:00,2020-07-02,1,2
"Chinatown-Swanston St (North)",2020-07-02 01:00:00,2020-07-02,1,31
"Chinatown-Lt Bourke St (South)",2020-07-02 01:00:00,2020-07-02,1,18
"Bourke St-Russell St (West)",2020-07-02 01:00:00,2020-07-02,1,NA
"Flinders St-Elizabeth St (East)",2020-07-02 01:00:00,2020-07-02,1,40
"Spencer St-Collins St (South)",2020-07-02 01:00:00,2020-07-02,1,20
"Spencer St-Collins St (North)",2020-07-02 01:00:00,2020-07-02,1,30
"Melbourne Convention Exhibition Centre",2020-07-02 01:00:00,2020-07-02,1,18
"QV Market-Elizabeth St (West)",2020-07-02 01:00:00,2020-07-02,1,55
"QV Market-Peel St",2020-07-02 01:00:00,2020-07-02,1,8
"The Arts Centre",2020-07-02 01:00:00,2020-07-02,1,18
"St Kilda Rd-Alexandra Gardens",2020-07-02 01:00:00,2020-07-02,1,NA
"Lonsdale St (South)",2020-07-02 01:00:00,2020-07-02,1,43
"Lygon St (West)",2020-07-02 01:00:00,2020-07-02,1,13
"City Square",2020-07-02 01:00:00,2020-07-02,1,NA
"Flinders St-Spring St (West)",2020-07-02 01:00:00,2020-07-02,1,NA
"Flinders St-Spark La",2020-07-02 01:00:00,2020-07-02,1,NA
"Southbank",2020-07-02 01:00:00,2020-07-02,1,15
"Queen St (West)",2020-07-02 01:00:00,2020-07-02,1,4
"Lygon St (East)",2020-07-02 01:00:00,2020-07-02,1,6
"Alfred Place",2020-07-02 01:00:00,2020-07-02,1,NA
"Lonsdale St-Spring St (West)",2020-07-02 01:00:00,2020-07-02,1,18
"Grattan St-Swanston St (West)",2020-07-02 01:00:00,2020-07-02,1,2
"Monash Rd-Swanston St (West)",2020-07-02 01:00:00,2020-07-02,1,NA
"Tin Alley-Swanston St (West)",2020-07-02 01:00:00,2020-07-02,1,NA
"Little Collins St-Swanston St (East)",2020-07-02 01:00:00,2020-07-02,1,9
"Flinders La-Swanston St (West)",2020-07-02 01:00:00,2020-07-02,1,58
"Pelham St (South)",2020-07-02 01:00:00,2020-07-02,1,2
"Melbourne Central-Elizabeth St (East)",2020-07-02 01:00:00,2020-07-02,1,30
"QVM-Queen St (East)",2020-07-02 01:00:00,2020-07-02,1,10
"QVM-Therry St (South)",2020-07-02 01:00:00,2020-07-02,1,43
"Faraday St-Lygon St (West)",2020-07-02 01:00:00,2020-07-02,1,4
"QVM-Franklin St (North)",2020-07-02 01:00:00,2020-07-02,1,28
"Elizabeth St-Lonsdale St (South)",2020-07-02 01:00:00,2020-07-02,1,12
"Lincoln-Swanston (W)",2020-07-02 01:00:00,2020-07-02,1,NA
"Elizabeth St-La Trobe St (East)",2020-07-02 01:00:00,2020-07-02,1,NA
"Lonsdale St - Elizabeth St (North)",2020-07-02 01:00:00,2020-07-02,1,10
"Bourke St Bridge",2020-07-02 01:00:00,2020-07-02,1,3
"Bourke St - Spencer St (North)",2020-07-02 01:00:00,2020-07-02,1,22
"RMIT Bld 80 - 445 Swanston Street",2020-07-02 01:00:00,2020-07-02,1,NA
"Flinders La-Swanston St (West) Temporary",2020-07-02 01:00:00,2020-07-02,1,NA
"RMIT Building 14",2020-07-02 01:00:00,2020-07-02,1,12
"380 Elizabeth St",2020-07-02 01:00:00,2020-07-02,1,73
"La Trobe St (North)",2020-07-02 01:00:00,2020-07-02,1,20
"231 Bourke St",2020-07-02 01:00:00,2020-07-02,1,6
"Royal Pde - Grattan St",2020-07-02 01:00:00,2020-07-02,1,1
"Bourke Street Mall (North)",2020-07-02 02:00:00,2020-07-02,2,9
"Bourke Street Mall (South)",2020-07-02 02:00:00,2020-07-02,2,11
"Melbourne Central",2020-07-02 02:00:00,2020-07-02,2,85
"Town Hall (West)",2020-07-02 02:00:00,2020-07-02,2,11
"Princes Bridge",2020-07-02 02:00:00,2020-07-02,2,17
"Flinders Street Station Underpass",2020-07-02 02:00:00,2020-07-02,2,8
"Birrarung Marr",2020-07-02 02:00:00,2020-07-02,2,1
"Webb Bridge",2020-07-02 02:00:00,2020-07-02,2,NA
"Southern Cross Station",2020-07-02 02:00:00,2020-07-02,2,1
"Victoria Point",2020-07-02 02:00:00,2020-07-02,2,2
"Waterfront City",2020-07-02 02:00:00,2020-07-02,2,4
"New Quay",2020-07-02 02:00:00,2020-07-02,2,5
"Flagstaff Station",2020-07-02 02:00:00,2020-07-02,2,NA
"Sandridge Bridge",2020-07-02 02:00:00,2020-07-02,2,3
"State Library",2020-07-02 02:00:00,2020-07-02,2,NA
"Collins St (North)",2020-07-02 02:00:00,2020-07-02,2,7
"Collins Place (South)",2020-07-02 02:00:00,2020-07-02,2,3
"Collins Place (North)",2020-07-02 02:00:00,2020-07-02,2,4
"Chinatown-Swanston St (North)",2020-07-02 02:00:00,2020-07-02,2,8
"Chinatown-Lt Bourke St (South)",2020-07-02 02:00:00,2020-07-02,2,5
"Bourke St-Russell St (West)",2020-07-02 02:00:00,2020-07-02,2,NA
"Flinders St-Elizabeth St (East)",2020-07-02 02:00:00,2020-07-02,2,52
"Spencer St-Collins St (South)",2020-07-02 02:00:00,2020-07-02,2,13
"Spencer St-Collins St (North)",2020-07-02 02:00:00,2020-07-02,2,7
"Melbourne Convention Exhibition Centre",2020-07-02 02:00:00,2020-07-02,2,1
"QV Market-Elizabeth St (West)",2020-07-02 02:00:00,2020-07-02,2,32
"QV Market-Peel St",2020-07-02 02:00:00,2020-07-02,2,5
"The Arts Centre",2020-07-02 02:00:00,2020-07-02,2,16
"St Kilda Rd-Alexandra Gardens",2020-07-02 02:00:00,2020-07-02,2,2
"Lonsdale St (South)",2020-07-02 02:00:00,2020-07-02,2,6
"Lygon St (West)",2020-07-02 02:00:00,2020-07-02,2,4
"City Square",2020-07-02 02:00:00,2020-07-02,2,NA
"Flinders St-Spring St (West)",2020-07-02 02:00:00,2020-07-02,2,NA
"Flinders St-Spark La",2020-07-02 02:00:00,2020-07-02,2,1
"Southbank",2020-07-02 02:00:00,2020-07-02,2,9
"Queen St (West)",2020-07-02 02:00:00,2020-07-02,2,4
"Lygon St (East)",2020-07-02 02:00:00,2020-07-02,2,3
"Alfred Place",2020-07-02 02:00:00,2020-07-02,2,NA
"Lonsdale St-Spring St (West)",2020-07-02 02:00:00,2020-07-02,2,1
"Grattan St-Swanston St (West)",2020-07-02 02:00:00,2020-07-02,2,2
"Monash Rd-Swanston St (West)",2020-07-02 02:00:00,2020-07-02,2,NA
"Tin Alley-Swanston St (West)",2020-07-02 02:00:00,2020-07-02,2,NA
"Little Collins St-Swanston St (East)",2020-07-02 02:00:00,2020-07-02,2,7
"Flinders La-Swanston St (West)",2020-07-02 02:00:00,2020-07-02,2,21
"Pelham St (South)",2020-07-02 02:00:00,2020-07-02,2,5
"Melbourne Central-Elizabeth St (East)",2020-07-02 02:00:00,2020-07-02,2,27
"QVM-Queen St (East)",2020-07-02 02:00:00,2020-07-02,2,5
"QVM-Therry St (South)",2020-07-02 02:00:00,2020-07-02,2,30
"Faraday St-Lygon St (West)",2020-07-02 02:00:00,2020-07-02,2,1
"QVM-Franklin St (North)",2020-07-02 02:00:00,2020-07-02,2,10
"Elizabeth St-Lonsdale St (South)",2020-07-02 02:00:00,2020-07-02,2,9
"Lincoln-Swanston (W)",2020-07-02 02:00:00,2020-07-02,2,NA
"Elizabeth St-La Trobe St (East)",2020-07-02 02:00:00,2020-07-02,2,NA
"Lonsdale St - Elizabeth St (North)",2020-07-02 02:00:00,2020-07-02,2,9
"Bourke St Bridge",2020-07-02 02:00:00,2020-07-02,2,1
"Bourke St - Spencer St (North)",2020-07-02 02:00:00,2020-07-02,2,20
"RMIT Bld 80 - 445 Swanston Street",2020-07-02 02:00:00,2020-07-02,2,NA
"Flinders La-Swanston St (West) Temporary",2020-07-02 02:00:00,2020-07-02,2,NA
"RMIT Building 14",2020-07-02 02:00:00,2020-07-02,2,13
"380 Elizabeth St",2020-07-02 02:00:00,2020-07-02,2,47
"La Trobe St (North)",2020-07-02 02:00:00,2020-07-02,2,23
"231 Bourke St",2020-07-02 02:00:00,2020-07-02,2,18
"Royal Pde - Grattan St",2020-07-02 02:00:00,2020-07-02,2,2
"Bourke Street Mall (North)",2020-07-02 03:00:00,2020-07-02,3,4
"Bourke Street Mall (South)",2020-07-02 03:00:00,2020-07-02,3,11
"Melbourne Central",2020-07-02 03:00:00,2020-07-02,3,30
"Town Hall (West)",2020-07-02 03:00:00,2020-07-02,3,14
"Princes Bridge",2020-07-02 03:00:00,2020-07-02,3,34
"Flinders Street Station Underpass",2020-07-02 03:00:00,2020-07-02,3,12
"Birrarung Marr",2020-07-02 03:00:00,2020-07-02,3,2
"Webb Bridge",2020-07-02 03:00:00,2020-07-02,3,3
"Southern Cross Station",2020-07-02 03:00:00,2020-07-02,3,1
"Victoria Point",2020-07-02 03:00:00,2020-07-02,3,NA
"Waterfront City",2020-07-02 03:00:00,2020-07-02,3,3
"New Quay",2020-07-02 03:00:00,2020-07-02,3,7
"Flagstaff Station",2020-07-02 03:00:00,2020-07-02,3,NA
"Sandridge Bridge",2020-07-02 03:00:00,2020-07-02,3,7
"State Library",2020-07-02 03:00:00,2020-07-02,3,NA
"Collins St (North)",2020-07-02 03:00:00,2020-07-02,3,16
"Collins Place (South)",2020-07-02 03:00:00,2020-07-02,3,NA
"Collins Place (North)",2020-07-02 03:00:00,2020-07-02,3,1
"Chinatown-Swanston St (North)",2020-07-02 03:00:00,2020-07-02,3,9
"Chinatown-Lt Bourke St (South)",2020-07-02 03:00:00,2020-07-02,3,4
"Bourke St-Russell St (West)",2020-07-02 03:00:00,2020-07-02,3,NA
"Flinders St-Elizabeth St (East)",2020-07-02 03:00:00,2020-07-02,3,49
"Spencer St-Collins St (South)",2020-07-02 03:00:00,2020-07-02,3,5
"Spencer St-Collins St (North)",2020-07-02 03:00:00,2020-07-02,3,5
"Melbourne Convention Exhibition Centre",2020-07-02 03:00:00,2020-07-02,3,24
"QV Market-Elizabeth St (West)",2020-07-02 03:00:00,2020-07-02,3,41
"QV Market-Peel St",2020-07-02 03:00:00,2020-07-02,3,5
"The Arts Centre",2020-07-02 03:00:00,2020-07-02,3,30
"St Kilda Rd-Alexandra Gardens",2020-07-02 03:00:00,2020-07-02,3,1
"Lonsdale St (South)",2020-07-02 03:00:00,2020-07-02,3,20
"Lygon St (West)",2020-07-02 03:00:00,2020-07-02,3,NA
"City Square",2020-07-02 03:00:00,2020-07-02,3,NA
"Flinders St-Spring St (West)",2020-07-02 03:00:00,2020-07-02,3,NA
"Flinders St-Spark La",2020-07-02 03:00:00,2020-07-02,3,2
"Southbank",2020-07-02 03:00:00,2020-07-02,3,5
"Queen St (West)",2020-07-02 03:00:00,2020-07-02,3,3
"Lygon St (East)",2020-07-02 03:00:00,2020-07-02,3,NA
"Alfred Place",2020-07-02 03:00:00,2020-07-02,3,NA
"Lonsdale St-Spring St (West)",2020-07-02 03:00:00,2020-07-02,3,NA
"Grattan St-Swanston St (West)",2020-07-02 03:00:00,2020-07-02,3,NA
"Monash Rd-Swanston St (West)",2020-07-02 03:00:00,2020-07-02,3,NA
"Tin Alley-Swanston St (West)",2020-07-02 03:00:00,2020-07-02,3,2
"Little Collins St-Swanston St (East)",2020-07-02 03:00:00,2020-07-02,3,12
"Flinders La-Swanston St (West)",2020-07-02 03:00:00,2020-07-02,3,13
"Pelham St (South)",2020-07-02 03:00:00,2020-07-02,3,NA
"Melbourne Central-Elizabeth St (East)",2020-07-02 03:00:00,2020-07-02,3,20
"QVM-Queen St (East)",2020-07-02 03:00:00,2020-07-02,3,3
"QVM-Therry St (South)",2020-07-02 03:00:00,2020-07-02,3,13
"Faraday St-Lygon St (West)",2020-07-02 03:00:00,2020-07-02,3,3
"QVM-Franklin St (North)",2020-07-02 03:00:00,2020-07-02,3,5
"Elizabeth St-Lonsdale St (South)",2020-07-02 03:00:00,2020-07-02,3,1
"Lincoln-Swanston (W)",2020-07-02 03:00:00,2020-07-02,3,NA
"Elizabeth St-La Trobe St (East)",2020-07-02 03:00:00,2020-07-02,3,NA
"Lonsdale St - Elizabeth St (North)",2020-07-02 03:00:00,2020-07-02,3,NA
"Bourke St Bridge",2020-07-02 03:00:00,2020-07-02,3,2
"Bourke St - Spencer St (North)",2020-07-02 03:00:00,2020-07-02,3,18
"RMIT Bld 80 - 445 Swanston Street",2020-07-02 03:00:00,2020-07-02,3,NA
"Flinders La-Swanston St (West) Temporary",2020-07-02 03:00:00,2020-07-02,3,NA
"RMIT Building 14",2020-07-02 03:00:00,2020-07-02,3,22
"380 Elizabeth St",2020-07-02 03:00:00,2020-07-02,3,45
"La Trobe St (North)",2020-07-02 03:00:00,2020-07-02,3,25
"231 Bourke St",2020-07-02 03:00:00,2020-07-02,3,14
"Royal Pde - Grattan St",2020-07-02 03:00:00,2020-07-02,3,7
"Bourke Street Mall (North)",2020-07-02 04:00:00,2020-07-02,4,3
"Bourke Street Mall (South)",2020-07-02 04:00:00,2020-07-02,4,4
"Melbourne Central",2020-07-02 04:00:00,2020-07-02,4,19
"Town Hall (West)",2020-07-02 04:00:00,2020-07-02,4,19
"Princes Bridge",2020-07-02 04:00:00,2020-07-02,4,51
"Flinders Street Station Underpass",2020-07-02 04:00:00,2020-07-02,4,15
"Birrarung Marr",2020-07-02 04:00:00,2020-07-02,4,9
"Webb Bridge",2020-07-02 04:00:00,2020-07-02,4,NA
"Southern Cross Station",2020-07-02 04:00:00,2020-07-02,4,NA
"Victoria Point",2020-07-02 04:00:00,2020-07-02,4,2
"Waterfront City",2020-07-02 04:00:00,2020-07-02,4,NA
"New Quay",2020-07-02 04:00:00,2020-07-02,4,NA
"Flagstaff Station",2020-07-02 04:00:00,2020-07-02,4,NA
"Sandridge Bridge",2020-07-02 04:00:00,2020-07-02,4,6
"State Library",2020-07-02 04:00:00,2020-07-02,4,NA
"Collins St (North)",2020-07-02 04:00:00,2020-07-02,4,11
"Collins Place (South)",2020-07-02 04:00:00,2020-07-02,4,3
"Collins Place (North)",2020-07-02 04:00:00,2020-07-02,4,2
"Chinatown-Swanston St (North)",2020-07-02 04:00:00,2020-07-02,4,11
"Chinatown-Lt Bourke St (South)",2020-07-02 04:00:00,2020-07-02,4,4
"Bourke St-Russell St (West)",2020-07-02 04:00:00,2020-07-02,4,NA
"Flinders St-Elizabeth St (East)",2020-07-02 04:00:00,2020-07-02,4,56
"Spencer St-Collins St (South)",2020-07-02 04:00:00,2020-07-02,4,18
"Spencer St-Collins St (North)",2020-07-02 04:00:00,2020-07-02,4,15
"Melbourne Convention Exhibition Centre",2020-07-02 04:00:00,2020-07-02,4,13
"QV Market-Elizabeth St (West)",2020-07-02 04:00:00,2020-07-02,4,47
"QV Market-Peel St",2020-07-02 04:00:00,2020-07-02,4,2
"The Arts Centre",2020-07-02 04:00:00,2020-07-02,4,62
"St Kilda Rd-Alexandra Gardens",2020-07-02 04:00:00,2020-07-02,4,2
"Lonsdale St (South)",2020-07-02 04:00:00,2020-07-02,4,4
"Lygon St (West)",2020-07-02 04:00:00,2020-07-02,4,22
"City Square",2020-07-02 04:00:00,2020-07-02,4,NA
"Flinders St-Spring St (West)",2020-07-02 04:00:00,2020-07-02,4,NA
"Flinders St-Spark La",2020-07-02 04:00:00,2020-07-02,4,5
"Southbank",2020-07-02 04:00:00,2020-07-02,4,5
"Queen St (West)",2020-07-02 04:00:00,2020-07-02,4,2
"Lygon St (East)",2020-07-02 04:00:00,2020-07-02,4,8
"Alfred Place",2020-07-02 04:00:00,2020-07-02,4,NA
"Lonsdale St-Spring St (West)",2020-07-02 04:00:00,2020-07-02,4,1
"Grattan St-Swanston St (West)",2020-07-02 04:00:00,2020-07-02,4,4
"Monash Rd-Swanston St (West)",2020-07-02 04:00:00,2020-07-02,4,1
"Tin Alley-Swanston St (West)",2020-07-02 04:00:00,2020-07-02,4,2
"Little Collins St-Swanston St (East)",2020-07-02 04:00:00,2020-07-02,4,13
"Flinders La-Swanston St (West)",2020-07-02 04:00:00,2020-07-02,4,41
"Pelham St (South)",2020-07-02 04:00:00,2020-07-02,4,1
"Melbourne Central-Elizabeth St (East)",2020-07-02 04:00:00,2020-07-02,4,34
"QVM-Queen St (East)",2020-07-02 04:00:00,2020-07-02,4,2
"QVM-Therry St (South)",2020-07-02 04:00:00,2020-07-02,4,27
"Faraday St-Lygon St (West)",2020-07-02 04:00:00,2020-07-02,4,5
"QVM-Franklin St (North)",2020-07-02 04:00:00,2020-07-02,4,2
"Elizabeth St-Lonsdale St (South)",2020-07-02 04:00:00,2020-07-02,4,6
"Lincoln-Swanston (W)",2020-07-02 04:00:00,2020-07-02,4,NA
"Elizabeth St-La Trobe St (East)",2020-07-02 04:00:00,2020-07-02,4,NA
"Lonsdale St - Elizabeth St (North)",2020-07-02 04:00:00,2020-07-02,4,NA
"Bourke St Bridge",2020-07-02 04:00:00,2020-07-02,4,2
"Bourke St - Spencer St (North)",2020-07-02 04:00:00,2020-07-02,4,16
"RMIT Bld 80 - 445 Swanston Street",2020-07-02 04:00:00,2020-07-02,4,NA
"Flinders La-Swanston St (West) Temporary",2020-07-02 04:00:00,2020-07-02,4,NA
"RMIT Building 14",2020-07-02 04:00:00,2020-07-02,4,19
"380 Elizabeth St",2020-07-02 04:00:00,2020-07-02,4,35
"La Trobe St (North)",2020-07-02 04:00:00,2020-07-02,4,3
"231 Bourke St",2020-07-02 04:00:00,2020-07-02,4,20
"Royal Pde - Grattan St",2020-07-02 04:00:00,2020-07-02,4,NA
"Bourke Street Mall (North)",2020-07-02 05:00:00,2020-07-02,5,22
"Bourke Street Mall (South)",2020-07-02 05:00:00,2020-07-02,5,5
"Melbourne Central",2020-07-02 05:00:00,2020-07-02,5,56
"Town Hall (West)",2020-07-02 05:00:00,2020-07-02,5,44
"Princes Bridge",2020-07-02 05:00:00,2020-07-02,5,69
"Flinders Street Station Underpass",2020-07-02 05:00:00,2020-07-02,5,101
"Birrarung Marr",2020-07-02 05:00:00,2020-07-02,5,15
"Webb Bridge",2020-07-02 05:00:00,2020-07-02,5,15
"Southern Cross Station",2020-07-02 05:00:00,2020-07-02,5,43
"Victoria Point",2020-07-02 05:00:00,2020-07-02,5,2
"Waterfront City",2020-07-02 05:00:00,2020-07-02,5,2
"New Quay",2020-07-02 05:00:00,2020-07-02,5,11
"Flagstaff Station",2020-07-02 05:00:00,2020-07-02,5,NA
"Sandridge Bridge",2020-07-02 05:00:00,2020-07-02,5,97
"State Library",2020-07-02 05:00:00,2020-07-02,5,NA
"Collins St (North)",2020-07-02 05:00:00,2020-07-02,5,38
"Collins Place (South)",2020-07-02 05:00:00,2020-07-02,5,47
"Collins Place (North)",2020-07-02 05:00:00,2020-07-02,5,14
"Chinatown-Swanston St (North)",2020-07-02 05:00:00,2020-07-02,5,13
"Chinatown-Lt Bourke St (South)",2020-07-02 05:00:00,2020-07-02,5,1
"Bourke St-Russell St (West)",2020-07-02 05:00:00,2020-07-02,5,NA
"Flinders St-Elizabeth St (East)",2020-07-02 05:00:00,2020-07-02,5,106
"Spencer St-Collins St (South)",2020-07-02 05:00:00,2020-07-02,5,23
"Spencer St-Collins St (North)",2020-07-02 05:00:00,2020-07-02,5,119
"Melbourne Convention Exhibition Centre",2020-07-02 05:00:00,2020-07-02,5,42
"QV Market-Elizabeth St (West)",2020-07-02 05:00:00,2020-07-02,5,52
"QV Market-Peel St",2020-07-02 05:00:00,2020-07-02,5,5
"The Arts Centre",2020-07-02 05:00:00,2020-07-02,5,57
"St Kilda Rd-Alexandra Gardens",2020-07-02 05:00:00,2020-07-02,5,11
"Lonsdale St (South)",2020-07-02 05:00:00,2020-07-02,5,8
"Lygon St (West)",2020-07-02 05:00:00,2020-07-02,5,34
"City Square",2020-07-02 05:00:00,2020-07-02,5,NA
"Flinders St-Spring St (West)",2020-07-02 05:00:00,2020-07-02,5,NA
"Flinders St-Spark La",2020-07-02 05:00:00,2020-07-02,5,12
"Southbank",2020-07-02 05:00:00,2020-07-02,5,17
"Queen St (West)",2020-07-02 05:00:00,2020-07-02,5,15
"Lygon St (East)",2020-07-02 05:00:00,2020-07-02,5,10
"Alfred Place",2020-07-02 05:00:00,2020-07-02,5,NA
"Lonsdale St-Spring St (West)",2020-07-02 05:00:00,2020-07-02,5,19
"Grattan St-Swanston St (West)",2020-07-02 05:00:00,2020-07-02,5,6
"Monash Rd-Swanston St (West)",2020-07-02 05:00:00,2020-07-02,5,3
"Tin Alley-Swanston St (West)",2020-07-02 05:00:00,2020-07-02,5,1
"Little Collins St-Swanston St (East)",2020-07-02 05:00:00,2020-07-02,5,31
"Flinders La-Swanston St (West)",2020-07-02 05:00:00,2020-07-02,5,117
"Pelham St (South)",2020-07-02 05:00:00,2020-07-02,5,2
"Melbourne Central-Elizabeth St (East)",2020-07-02 05:00:00,2020-07-02,5,48
"QVM-Queen St (East)",2020-07-02 05:00:00,2020-07-02,5,17
"QVM-Therry St (South)",2020-07-02 05:00:00,2020-07-02,5,16
"Faraday St-Lygon St (West)",2020-07-02 05:00:00,2020-07-02,5,10
"QVM-Franklin St (North)",2020-07-02 05:00:00,2020-07-02,5,44
"Elizabeth St-Lonsdale St (South)",2020-07-02 05:00:00,2020-07-02,5,6
"Lincoln-Swanston (W)",2020-07-02 05:00:00,2020-07-02,5,NA
"Elizabeth St-La Trobe St (East)",2020-07-02 05:00:00,2020-07-02,5,NA
"Lonsdale St - Elizabeth St (North)",2020-07-02 05:00:00,2020-07-02,5,15
"Bourke St Bridge",2020-07-02 05:00:00,2020-07-02,5,23
"Bourke St - Spencer St (North)",2020-07-02 05:00:00,2020-07-02,5,64
"RMIT Bld 80 - 445 Swanston Street",2020-07-02 05:00:00,2020-07-02,5,NA
"Flinders La-Swanston St (West) Temporary",2020-07-02 05:00:00,2020-07-02,5,NA
"RMIT Building 14",2020-07-02 05:00:00,2020-07-02,5,22
"380 Elizabeth St",2020-07-02 05:00:00,2020-07-02,5,107
"La Trobe St (North)",2020-07-02 05:00:00,2020-07-02,5,20
"231 Bourke St",2020-07-02 05:00:00,2020-07-02,5,11
"Royal Pde - Grattan St",2020-07-02 05:00:00,2020-07-02,5,11
"Bourke Street Mall (North)",2020-07-02 06:00:00,2020-07-02,6,62
"Bourke Street Mall (South)",2020-07-02 06:00:00,2020-07-02,6,31
"Melbourne Central",2020-07-02 06:00:00,2020-07-02,6,80
"Town Hall (West)",2020-07-02 06:00:00,2020-07-02,6,106
"Princes Bridge",2020-07-02 06:00:00,2020-07-02,6,168
"Flinders Street Station Underpass",2020-07-02 06:00:00,2020-07-02,6,239
"Birrarung Marr",2020-07-02 06:00:00,2020-07-02,6,65
"Webb Bridge",2020-07-02 06:00:00,2020-07-02,6,56
"Southern Cross Station",2020-07-02 06:00:00,2020-07-02,6,200
"Victoria Point",2020-07-02 06:00:00,2020-07-02,6,31
"Waterfront City",2020-07-02 06:00:00,2020-07-02,6,12
"New Quay",2020-07-02 06:00:00,2020-07-02,6,37
"Flagstaff Station",2020-07-02 06:00:00,2020-07-02,6,NA
"Sandridge Bridge",2020-07-02 06:00:00,2020-07-02,6,269
"State Library",2020-07-02 06:00:00,2020-07-02,6,NA
"Collins St (North)",2020-07-02 06:00:00,2020-07-02,6,56
"Collins Place (South)",2020-07-02 06:00:00,2020-07-02,6,105
"Collins Place (North)",2020-07-02 06:00:00,2020-07-02,6,50
"Chinatown-Swanston St (North)",2020-07-02 06:00:00,2020-07-02,6,9
"Chinatown-Lt Bourke St (South)",2020-07-02 06:00:00,2020-07-02,6,19
"Bourke St-Russell St (West)",2020-07-02 06:00:00,2020-07-02,6,NA
"Flinders St-Elizabeth St (East)",2020-07-02 06:00:00,2020-07-02,6,248
"Spencer St-Collins St (South)",2020-07-02 06:00:00,2020-07-02,6,85
"Spencer St-Collins St (North)",2020-07-02 06:00:00,2020-07-02,6,323
"Melbourne Convention Exhibition Centre",2020-07-02 06:00:00,2020-07-02,6,140
"QV Market-Elizabeth St (West)",2020-07-02 06:00:00,2020-07-02,6,99
"QV Market-Peel St",2020-07-02 06:00:00,2020-07-02,6,36
"The Arts Centre",2020-07-02 06:00:00,2020-07-02,6,115
"St Kilda Rd-Alexandra Gardens",2020-07-02 06:00:00,2020-07-02,6,37
"Lonsdale St (South)",2020-07-02 06:00:00,2020-07-02,6,42
"Lygon St (West)",2020-07-02 06:00:00,2020-07-02,6,29
"City Square",2020-07-02 06:00:00,2020-07-02,6,NA
"Flinders St-Spring St (West)",2020-07-02 06:00:00,2020-07-02,6,NA
"Flinders St-Spark La",2020-07-02 06:00:00,2020-07-02,6,33
"Southbank",2020-07-02 06:00:00,2020-07-02,6,102
"Queen St (West)",2020-07-02 06:00:00,2020-07-02,6,49
"Lygon St (East)",2020-07-02 06:00:00,2020-07-02,6,4
"Alfred Place",2020-07-02 06:00:00,2020-07-02,6,NA
"Lonsdale St-Spring St (West)",2020-07-02 06:00:00,2020-07-02,6,36
"Grattan St-Swanston St (West)",2020-07-02 06:00:00,2020-07-02,6,63
"Monash Rd-Swanston St (West)",2020-07-02 06:00:00,2020-07-02,6,21
"Tin Alley-Swanston St (West)",2020-07-02 06:00:00,2020-07-02,6,10
"Little Collins St-Swanston St (East)",2020-07-02 06:00:00,2020-07-02,6,56
